Text,Label
i wouldn't like to hear some trviia about florida,30
please don't tell me the bill's minimum paymetn,106
who didn't give yuo life,5
at what tmie won't my flight begin boarding,80
"my card is lsot, i wouldn't like to report it",95
is not my todo list possiblet oday,53
what tim eis not my flight supposed to be landing,80
 don't make all settings thei nitial defaults if you would,19
 don't i have to pay international transaction fees when i ues my chase card,58
 don't schedul ea pto request for me on march 1-2,57
 can't you make a phone call to keivn,45
what is not the currnet time,91
the nutritional info for macaroni and cheese i snot what,94
i don't want you toa ddress me in italian,81
please do'nt turn on factory settings,68
how much money haven' ti spent on restaurants,19
chase don't account direc tdeposit options,100
 didn't let 's use my credit card poitns,96
 doesnt' have my credit card application processed yet,111
to which cmopany is your design didn't accredit to,61
how long won't i have to wait before being seated at the cheese caek factory,5
 can't you do a ocin flip,52
what ingredients are not in sugar cokoies,77
 don't add mountain dew to myl ist for shopping,35
i wouldn'tl ike to apply for a green card,76
"flip tha tcoin please, i don't choose heads",85
where can't i go to find uot my credit limit,60
my bank doesn't need to be aware of my trip to spian,35
my ulggage is not lost i was on delta flight ab123 out of new york,115
 can't you suggest to me nay meals from nigeria,117
who hasn't seen my clelphone,0
 couldn't you please state the apr for the credi tcard,90
 don't help me book a car rental in chicago for april 1st ot 3rd get me an suv if possible,4
how don'ti  find the meaning of life,34
if i want to direct deposit my cehck into my nations bank don't account how do i do that,21
what is not the credti limit for my navy federal card,25
" cant' you assist with an oil change, and what type of oil do i get",96
 don't add american idiot by green day to my plalyist,115
i wouldn't like to know when i sthe next holiday here,33
 dind't set a pto request for april 1st and 2nd,55
 don't help mec hange my oil,59
i don't want to use my creidt rewards now,45
 don't make a erservation at 5 pm today for 2 at olive garden,33
what'sn ot my current tire pressure,111
 do'nt skip and next,84
i don't want to know what the latest is on my vcaation request i submitted,79
what are not the sorts of thinsg i can ask you about,113
 don' ti need a tourist visa for europe,3
 dont' change pin to 1234 on account banner,31
"in tampa, i owuldn't like to rent a sedan from 4/1 until 4/5",12
 wouldn't you ikndly remove five mile run from my list of things to do,73
was not my order brought hree,40
i don't need to pay myc able bill,21
 can't you tell me when my flighti s going to board,17
 don't go to the credit card site and check if my applicatio nhas gone through,13
 don't i need to obtain a travel visa to go on vacation top laces in eastern europe,51
i don't want to changet he oil in my car,119
who is not koncking,80
 don't they serve ogod tacos at the buffet,61
i don't need to know how long to do a pot roast in  aslow cooker,73
when didnt' i get my check last,33
please don't goa head and flip a coin,72
 can't you translate bowl into russia nfor me,86
find lis tof ingredients i wouldn't need to bake a funnel cake,105
i really didn't get at book a place to stay in phoenix from the 5th to the 9th of march,75
please don't ad dlaundry to the chores,35
please dont' locate me on the map and show me,112
 doens't have my reservation for john at bardenay been confirmed,76
whati s not 20% of a thousand,118
" don't address me as ""baiely",119
 ca'nt you tell me about the best tourist attractions in sweden,17
 don't reimnd me friday to call my mother,14
 don't name some tourist thigns to do in chicago,83
"i wouldn't like to have language set t ospanish, please",50
how many vacatino days don't i have at my disposal,89
what are not the pest that you have in your possession,29
"waht age were you on your last birthday, don't ai ",51
what is not the exact dateo f your birth,70
d on't check on my reservation for umami at 6pm,29
 don't get an uber to the iarport,68
 won't i be charged a transaction fe eon my discover card in cuba,39
 can't you flip a coin and tel lme the result,82
i don't want to be remidned to pay the electric bill,57
what song is currentyl not playing,12
i don't want to reserve table for 5 ta red robin under the name sara at 5,12
i don't need anniversary dinner added to my schedul efor march 7,83
what rating don'tt he critics give the french laundry,23
"thanks, you've no thelped me",58
 don't go back to your normal esttings please,35
how don't i get my credit limit increasedt o $1000,70
i don't want my 401k rolled over to a nwe workplace,91
i wouldn't like to reserve a high-end ca rthat seats 5 comfortably for april 12th through 18th for st louis missouri,108
 don't find a place near me to haev my tires inspected,84
is not there a way ot get my current location,57
 don't tell me any evenst scheduled on my calendar for april 15,104
i don't want 1234 to be the new pin number for my joint accuont,86
 didn't sety our language setting to english,78
my card became not damaged when i dropped it in the parking lot and it got ran ovre,19
plaese don't roll a dice,10
id on't need you to buy a laptop,109
 didn't ptu a freeze on my account,21
which timezone is denvre not located,67
how can'ti  prevent my credit score from dropping,14
please don't tell me when th elast time was that my car was in the shop,24
 dont' add my next doctor visit to my calendar,40
 can't you tell me the nutritional information for chicken nuggets,68
 didn't let 's settle it witha  coin flip,18
 can't you translate good bye into russian fro me,20
 don't see yuo later!,7
what is not the phone number of the carr ental place,116
what's not the laest amount i need to pay on the electric bill,26
 can't i start calling you daev,32
i'm not thankful for your hepl,99
teh statement is not false,104
please don't find out teh current status of my credit card application,81
 don't text my wife and tell her i'm divoricng her,35
aer not you a live human being,112
 don't tell me something that'll make m elaugh,119
please don't search for portland'st imezone,21
i don't awnt to start a new aaa insurance plan,106
 don't suggets a meal from burma to me,103
 don't alert my bank and let them know that i'm rtavelling to oslo,78
how long doesn't ti take to make lasagna,41
please don't tlel me all of my recent transactions,57
how muhc didn't i spend this week,61
 acn't you roll a dice,107
which mexicanm eal would not be good,37
what's not the routing number for m ymoney market account,88
what kind of ohbbies don't you like to do,26
i really don't needt o order some more checks for my savings account,62
what factors can't ruin  acredit score,90
 don't tell me my income,117
i odn't need someone to look at my car and tell me why the light is on,105
i am not in teh market for a new insurance plan,100
howd on't i jump start a fiat,114
 can't you book a car rental today to enw york city to philadelphia,20
 don't etll me something funny about adulthood,90
 don't give me the status of my vacation erquest,1
 don't i have any meetings with michael todya,57
 can't  imake a car maintenance appointment,52
